,date,pm2.5,pm10,o3,no2
222,2021-04-22,34.0,21.0,24.0,15.0
223,2021-04-23,38.0,21.0,33.0,12.0
224,2021-04-24,47.0,15.0,30.0,6.0
225,2021-04-25,31.0,15.0,30.0,8.0
226,2021-04-26,28.0,25.0,29.0,17.0
227,2021-04-27,52.0,28.0,33.0,15.0
228,2021-04-28,63.0,15.0,28.0,11.0
229,2021-04-29,36.0,16.0,28.0,11.0
230,2021-04-30,42.0,18.0,28.0,10.0
231,2021-05-01,47.0,17.0,31.0,12.0
232,2021-05-02,51.0,17.0,36.0,4.0
233,2021-05-03,30.0,9.0,28.0,13.0
234,2021-05-04,19.0,9.0,19.0,16.0
235,2021-05-05,23.0,7.0,20.0,13.0
236,2021-05-06,25.0,12.0,27.0,15.0
237,2021-05-07,24.0,11.0,23.0,6.0
238,2021-05-08,24.0,8.0,20.0,5.0
239,2021-05-09,17.0,13.0,31.0,4.0
240,2021-05-10,20.0,12.0,33.0,8.0
241,2021-05-11,22.0,13.0,32.0,4.0
242,2021-05-12,23.0,14.0,21.0,13.0
243,2021-05-13,32.0,14.0,24.0,10.0
244,2021-05-14,36.0,10.0,28.0,8.0
245,2021-05-15,33.0,9.0,26.0,5.0
246,2021-05-16,26.0,10.0,24.0,18.0
247,2021-05-17,32.0,10.0,24.0,9.0
248,2021-05-18,30.0,8.0,22.0,15.0
249,2021-05-19,17.0,13.0,27.0,7.0
250,2021-05-20,23.0,14.0,28.0,3.0
251,2021-05-21,28.0,6.0,22.0,12.0
252,2021-05-22,22.0,9.0,31.0,5.0
253,2021-05-23,20.0,7.0,29.0,9.0
254,2021-05-24,22.0,9.0,23.0,12.0
255,2021-05-25,20.0,11.0,22.0,16.0
256,2021-05-26,28.0,16.0,28.0,20.0
257,2021-05-27,39.0,19.0,25.0,16.0
258,2021-05-28,54.0,19.0,32.0,11.0
259,2021-05-29,56.0,19.0,31.0,6.0
260,2021-05-30,50.0,23.0,36.0,8.0
261,2021-05-31,56.0,24.0,48.0,12.0
262,2021-06-01,50.0,25.0,45.0,15.0
263,2021-06-02,55.0,21.0,34.0,8.0
264,2021-06-03,51.0,14.0,17.0,10.0
265,2021-06-04,35.0,16.0,32.0,10.0
266,2021-06-05,41.0,11.0,23.0,9.0
267,2021-06-06,29.0,11.0,32.0,6.0
268,2021-06-07,32.0,14.0,32.0,9.0
269,2021-06-08,33.0,13.0,29.0,9.0
270,2021-06-09,36.0,10.0,18.0,4.0
271,2021-06-10,21.0,10.0,17.0,4.0
272,2021-06-11,23.0,14.0,27.0,6.0
273,2021-06-12,35.0,19.0,39.0,6.0
274,2021-06-13,46.0,15.0,28.0,6.0
275,2021-06-14,38.0,20.0,30.0,7.0
276,2021-06-15,34.0,17.0,33.0,7.0
277,2021-06-16,41.0,18.0,17.0,8.0
278,2021-06-17,40.0,7.0,16.0,8.0
279,2021-06-18,26.0,10.0,17.0,4.0
280,2021-06-19,20.0,12.0,18.0,3.0
281,2021-06-20,25.0,15.0,20.0,6.0
282,2021-06-21,32.0,18.0,18.0,5.0
283,2021-06-22,32.0,18.0,27.0,10.0
284,2021-06-23,38.0,21.0,17.0,13.0
285,2021-06-24,43.0,13.0,19.0,6.0
286,2021-06-25,30.0,17.0,23.0,7.0
287,2021-06-26,37.0,25.0,25.0,5.0
288,2021-06-27,59.0,17.0,16.0,8.0
289,2021-06-28,36.0,20.0,11.0,9.0
290,2021-06-29,46.0,12.0,18.0,8.0
291,2021-06-30,31.0,19.0,22.0,10.0
292,2021-01-04,23.0,13.0,16.0,10.0
293,2021-01-05,25.0,11.0,11.0,13.0
294,2021-01-06,28.0,20.0,8.0,24.0
295,2021-01-07,64.0,25.0,8.0,19.0
296,2021-01-08,76.0,20.0,10.0,20.0
297,2021-01-09,63.0,17.0,13.0,19.0
298,2021-01-10,63.0,8.0,24.0,11.0
299,2021-01-11,34.0,2.0,20.0,18.0
300,2021-01-12,6.0,15.0,18.0,22.0
301,2021-01-14,31.0,21.0,8.0,21.0
302,2021-01-15,55.0,10.0,13.0,23.0
303,2021-01-16,31.0,15.0,17.0,28.0
304,2021-01-17,31.0,13.0,24.0,15.0
305,2021-01-18,27.0,7.0,26.0,7.0
306,2021-01-19,20.0,9.0,26.0,8.0
307,2021-01-20,27.0,11.0,23.0,12.0
308,2021-01-21,25.0,13.0,16.0,15.0
309,2021-01-22,35.0,13.0,16.0,21.0
310,2021-01-23,40.0,13.0,15.0,21.0
311,2021-01-24,43.0,15.0,15.0,27.0
312,2021-01-25,45.0,11.0,18.0,17.0
313,2021-01-26,40.0,11.0,9.0,18.0
314,2021-01-27,38.0,9.0,20.0,12.0
315,2021-01-28,26.0,12.0,23.0,15.0
316,2021-01-29,29.0,11.0,14.0,9.0
317,2021-01-30,34.0,14.0,15.0,12.0
318,2021-01-31,41.0,19.0,8.0,13.0
319,2021-02-01,61.0,19.0,28.0,10.0
320,2021-02-02,45.0,17.0,25.0,16.0
321,2021-02-03,40.0,13.0,18.0,14.0
322,2021-02-04,37.0,9.0,21.0,11.0
323,2021-02-05,33.0,14.0,12.0,12.0
324,2021-02-06,49.0,15.0,25.0,5.0
325,2021-02-07,37.0,12.0,23.0,9.0
326,2021-02-08,33.0,12.0,22.0,13.0
327,2021-02-09,30.0,17.0,21.0,15.0
328,2021-02-10,33.0,21.0,15.0,18.0
329,2021-02-11,56.0,23.0,19.0,18.0
330,2021-02-12,55.0,19.0,22.0,10.0
331,2021-02-13,52.0,19.0,23.0,8.0
332,2021-02-14,56.0,13.0,22.0,11.0
333,2021-02-15,41.0,15.0,24.0,9.0
334,2021-02-16,37.0,15.0,26.0,6.0
335,2021-02-17,34.0,13.0,24.0,8.0
336,2021-02-18,30.0,14.0,23.0,8.0
337,2021-02-19,33.0,34.0,25.0,6.0
338,2021-02-20,61.0,23.0,22.0,9.0
