date, pm25, pm10, no2
2018/1/10, 53, 17, 30
2018/1/11, 64, 20, 41
2018/1/12, 66, 17, 33
2018/1/13, 62, 24, 40
2018/1/14, 73, 11, 43
2018/1/15, 31, 11, 50
2018/1/16, 31, 11, 43
2018/1/17, 30, 10, 37
2018/1/18, 25, 16, 61
2018/1/19, 42, 12, 52
2018/1/20, 42, 15, 46
2018/1/21, 53, 14, 42
2018/1/22, 31, 13, 54
2018/1/23, 34, 9, 55
2018/1/24, 23, 19, 66
2018/1/25, 46, 16, 42
2018/1/26, 50, 15, 57
2018/1/27, 49, 7, 41
2018/1/28, 22, 9, 41
2018/1/29, 28, 20, 67
2018/1/30, 54, 10, 53
2018/1/31, 32, 8, 29
2018/2/1, 22, 11, 29
2018/2/2, 31, 16, 56
2018/2/3, 60, 10, 35
2018/2/4, 35, 16, 51
2018/2/5, 48, 18, 42
2018/2/6, 62, 14, 39
2018/2/7, 43, 7, 76
2018/2/8, 23, 2, 34
2018/2/9, 6, , 63
2018/2/16, 62, 28, 60
2018/2/17, 66, 24, 58
2018/2/18, 59, 15, 41
2018/2/19, 52, 10, 27
2018/2/20, 33, 40, 42
2018/2/21, 104, 32, 49
2018/2/22, 80, 28, 47
2018/2/23, 70, 28, 39
2018/2/24, 74, 16, 36
2018/2/25, 45, 19, 43
2018/2/26, 42, 21, 51
2018/2/27, 46, 22, 52
2018/2/28, 69, 31, 35
2018/3/1, 86, 35, 36
2018/3/2, 101, 51, 38
2018/3/3, 144, 21, 50
2018/3/4, 69, 18, 56
2018/3/5, 49, 22, 71
2018/3/6, 56, 19, 59
2018/3/7, 58, 12, 51
2018/3/8, 35, 20, 59
2018/3/9, 58, 18, 52
2018/3/10, 56, 18, 47
2018/3/11, 58, 10, 35
2018/3/12, 41, 15, 42
2018/3/13, 48, 15, 45
2018/3/14, 47, 17, 55
2018/3/15, 48, 23, 54
2018/3/16, 55, 22, 28
2018/3/17, 57, 30, 28
2018/3/18, 67, 34, 34
2018/3/19, 54, 25, 31
2018/3/20, 38, 25, 39
2018/3/21, 55, 25, 41
2018/3/22, 48, 30, 47
2018/3/23, 45, 38, 38
2018/3/24, 82, 35, 33
2018/3/25, 81, 16, 37
2018/3/26, 34, 15, 34
2018/3/27, 32, 14, 44
2018/3/28, 41, 22, 53
2018/3/29, 45, 15, 39
2018/3/30, 47, 11, 26
2018/3/31, 44, 14, 25
2017/10/1, 38, 15, 27
2017/10/2, 42, 12, 28
2017/10/3, 37, 13, 39
2017/10/4, 41, 8, 16
2017/10/5, 27, 11, 27
2017/10/6, 32, 10, 27
2017/10/7, 32, 11, 22
2017/10/8, 36, 19, 46
2017/10/9, 59, 15, 42
2017/10/10, 51, 14, 37
2017/10/11, 39, 21, 43
2017/10/12, 52, 21, 40
2017/10/13, 61, 24, 39
2017/10/14, 70, 29, 42
2017/10/15, 82, 31, 39
2017/10/16, 74, 22, 42
2017/10/17, 52, 36, 39
2017/10/18, 85, 29, 38
2017/10/19, 80, 15, 36
2017/10/20, 41, 14, 33
2017/10/21, 37, 8, 22
2017/10/22, 26, 19, 43
2017/10/23, 54, 18, 38
2017/10/24, 57, 16, 38
2017/10/25, 53, 16, 33
2017/10/26, 58, 15, 29
2017/10/27, 47, 17, 33
2017/10/28, 52, 10, 19
2017/10/29, 32, 18, 35
2017/10/30, 49, 20, 48
2017/10/31, 60, 24, 60
2017/11/1, 71, 30, 38
2017/11/2, 87, 36, 58
2017/11/3, 99, 21, 31
2017/11/4, 66, 20, 24
2017/11/5, 63, 30, 47
2017/11/6, 83, 17, 39
