date, pm25, pm10, o3, no2, so2, co
2015/5/8, 63, 24, 14, 36, 4, 3
2015/5/9, 46, 30, 10, 39, 4, 3
2015/5/10, 56, 25, 10, 46, 5, 4
2015/5/11, 61, 21, 8, 53, 5, 5
2015/5/12, 53, 18, 20, 41, 3, 4
2015/5/13, 47, 17, 16, 44, 3, 4
2015/5/14, 54, 20, 19, 37, 2, 5
2015/5/15, 54, 22, 25, 29, 2, 5
2015/5/16, 41, 24, 15, 39, 3, 7
2015/5/17, 50, 21, 14, 50, 5, 8
2015/5/18, 53, 16, 13, 50, 5, 6
2015/5/19, 46, 12, 18, 33, 3, 4
2015/5/20, 34, 25, 8, 59, 6, 4
2015/5/21, 69, 23, 7, 37, 6, 3
2015/5/22, 61, 15, 14, 17, 3, 1
2015/5/23, 46, 18, 16, 19, 3, 1
2015/5/24, 51, 12, 25, 5, 2, 1
2015/5/25, 36, 12, 20, 10, 1, 1
2015/5/26, 38, 19, 20, 34, 3, 2
2015/5/27, 58, 17, 14, 30, 4, 1
2015/5/28, 45, 19, 14, 40, 5, 2
2015/5/29, 51, 19, 9, 35, 5, 1
2015/5/30, 53, 18, 12, 23, 4, 2
2015/5/31, 47, 20, 20, 33, 5, 2
2015/6/1, 52, 18, 22, 26, 3, 2
2015/6/2, 48, 20, 11, 33, 5, 1
2015/6/3, 53, 24, 11, 49, 4, 2
2015/6/4, 64, 32, 9, 49, 6, 3
2015/6/5, 80, 16, 13, 28, 4, 1
2015/6/6, 44, 13, 24, 12, 2, 1
2015/6/7, 35, 14, 20, 19, 2, 3
2015/6/8, 47, 10, 26, 10, , 3
2015/6/9, 25, 14, 25, 17, , 1
2015/6/10, 31, 21, 26, 50, 3, 4
2015/6/11, 55, 32, 22, 51, 2, 6
2015/6/12, 81, 28, 16, 49, 5, 6
2015/6/13, 78, 18, 23, 26, 3, 4
2015/6/14, 52, 13, 22, 32, 2, 4
2015/6/15, 31, 19, 15, 60, 5, 5
2015/6/16, 55, 21, 7, 49, 6, 5
2015/6/17, 60, 14, 22, 21, 2, 3
2015/6/18, 45, 14, 19, 25, 1, 3
