Middle Super Output Area,Table 1: 2013 Available Low Grade Heat;Typical Temperature;Greater London Totals (GWh);As a % of total heat demand;MSOA Name, Open Loop Ground Source Abstraction, Closed Loop Ground Source Abstraction, Air Source Heat Pumps, Rivers (10% Abstraction), Power Stations,Building Heat Rejection;Office,Building Heat Rejection;Retail,Building Heat Rejection;Gyms, Industrial Sources;Part A Processes, Industrial Sources;Part B Processes,Commercial Building Sources - Non HVAC;Supermarkets,Commercial Building Sources - Non HVAC;Data Centres, Wastewater (Treatment Plants);, Tubre rejected, National Grid Infrastructure, UKPN Infrastructure, Sewer heat mining;Various, TOTAL;GWh 
E02000695,Merton 007,42,267,,, -   ,612,"1,221", -   , -   , -   , -   , -   , -   ,, -   , -   ,"3,386",6
E02000696,Merton 008,75,"1,878","57,816",, -   ,612,"1,104", -   , -   , -   , -   , -   , -   ,, -   ,"1,380","3,479",66
E02000697,Merton 009,148,"4,211","102,473",, -   ,"7,118","10,780",140, -   , -   ,722, -   , -   ,131, -   ,"2,027","9,586",137
E02000698,Merton 010,531,"13,618",,, -   ,"3,906","5,425", -   , -   , -   , -   , -   , -   ,, -   , -   , -   ,23
E02000699,Merton 011,126,"3,585","27,523",, -   ,510,"4,390", -   , -   , -   , -   , -   , -   ,, -   ,"1,854","3,320",41
E02000700,Merton 012,146,"2,849",,, -   ,483,"5,425", -   , -   , -   , -   , -   , -   ,, -   , -   ,"3,428",12
E02000701,Merton 013,232,"5,740",,, -   ,"3,385","4,474",140, -   , -   , -   , -   , -   ,, -   , -   ,"3,602",18
E02000702,Merton 014,849,"24,154",,, -   ,612,"4,348", -   , -   ,560, -   , -   , -   ,, -   , -   ,"3,138",34
E02000703,Merton 015,133,"3,772",,, -   ,"3,515","1,078", -   , -   , -   ,144, -   , -   ,, -   , -   ,"3,154",12
E02000704,Merton 016,645,"16,712",,, -   ,"3,320","4,896",280, -   , -   ,"1,709", -   , -   ,, -   , -   ,"13,184",41
E02000705,Merton 017,300,"8,106",,, -   ,612,"4,601", -   , -   , -   , -   , -   , -   ,, -   , -   ,"3,481",17
E02000706,Merton 018,112,"3,177",,, -   ,439,"1,273",140, -   , -   ,"2,143", -   , -   ,, -   , -   ,"3,528",11
E02000707,Merton 019,573,"16,001",,, -   ,612,"5,425", -   , -   , -   , -   , -   , -   ,, -   , -   ,"3,054",26
E02000708,Merton 020,636,"17,828",,, -   ,526,"13,117", -   , -   , -   , -   , -   , -   ,, -   , -   ,"3,446",36
E02000709,Merton 021,488,"12,842",,, -   ,612,"1,000", -   , -   , -   , -   , -   , -   ,, -   , -   ,"9,972",25
E02000710,Merton 022,176,"4,962",,, -   ,380,"1,286",140, -   , -   , -   , -   , -   ,, -   , -   ,"28,182",35
E02000711,Merton 023,224,"6,383",,, -   ,347,"4,432", -   , -   , -   ,578, -   , -   ,, -   , -   , -   ,12
E02000712,Merton 024,753,"20,546",,, -   ,521,987, -   , -   , -   , -   , -   , -   ,, -   , -   , -   ,23
E02000713,Merton 025,231,"6,583",,, -   ,391,"4,348", -   , -   ,560, -   , -   , -   ,, -   , -   ,"2,908",15
E02000714,Newham 001,23,645,,, -   ,271,870, -   , -   , -   ,289, -   , -   ,, -   , -   , -   ,2
