Middle Super Output Area,MSOA Name, Open Loop Ground Source Abstraction, Closed Loop Ground Source Abstraction, Air Source Heat Pumps, Rivers (10% Abstraction), Power Stations,Building Heat Rejection;Office,Building Heat Rejection;Retail,Building Heat Rejection;Gyms, Industrial Sources;Part A Processes, Industrial Sources;Part B Processes,Commercial Building Sources - Non HVAC;Supermarkets,Commercial Building Sources - Non HVAC;Data Centres, Wastewater (Treatment Plants);, Tubre rejected, National Grid Infrastructure, UKPN Infrastructure, Sewer heat mining;Various, TOTAL;GWh 
E02000913,Waltham Forest 019,37,"1,041", -   , -   , -   ,425,"1,122", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,3
E02000914,Waltham Forest 020,53,"1,507", -   , -   , -   ,469,"3,913",126, -   , -   ,"1,282", -   , -   , -   , -   , -   , -   ,7
E02000915,Waltham Forest 021,468,"13,241", -   , -   , -   ,444,"4,369", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,19
E02000916,Waltham Forest 022,"1,193","30,551", -   , -   , -   ,444,947,252, -   , -   , -   , -   , -   , -   , -   , -   ,"12,970",46
E02000917,Waltham Forest 023,69,"1,976", -   , -   , -   ,444,"4,141", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,7
E02000918,Waltham Forest 024,26,549, -   , -   , -   ,381,"1,134",126, -   , -   ,"1,282", -   , -   , -   , -   , -   , -   ,3
E02000919,Waltham Forest 025,23,615, -   , -   , -   ,444,"1,029", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,2
E02000920,Waltham Forest 026,569,"13,868", -   , -   , -   ,"2,959","9,000",126, -   , -   ,"1,499", -   , -   , -   , -   , -   ,"6,513",35
E02000921,Waltham Forest 027,39,"1,073", -   , -   , -   ,478,853,126, -   , -   , -   , -   , -   , -   , -   , -   , -   ,3
E02000922,Waltham Forest 028,0,2, -   , -   , -   ,444,853, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1
E02000923,Wandsworth 001,4,116, -   , -   , -   ,"7,343","9,000", -   , -   , -   ,217, -   , -   , -   , -   , -   ,"2,626",19
E02000924,Wandsworth 002,420,"11,962", -   , -   , -   ,"4,277","4,065", -   , -   , -   ,108,243, -   , -   , -   , -   ,"3,684",25
E02000925,Wandsworth 003,50,"1,433", -   , -   , -   ,"3,662","4,065", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"2,693",12
E02000926,Wandsworth 004,100,"2,839", -   , -   , -   ,"6,836","9,234", -   , -   , -   ,217, -   , -   , -   , -   , -   ,"3,051",22
E02000927,Wandsworth 005,11,319, -   , -   , -   ,"3,252","4,977", -   , -   , -   ,108, -   , -   , -   , -   , -   ,"2,565",11
E02000928,Wandsworth 006,276,"7,862", -   , -   , -   ,"4,189","5,584", -   , -   , -   ,108, -   , -   , -   , -   , -   ,"3,369",21
E02000929,Wandsworth 007,52,"1,480", -   , -   , -   ,603,"1,040", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"2,609",6
E02000930,Wandsworth 008,61,"1,750", -   , -   , -   ,"3,603","11,806", -   , -   , -   ,"2,040", -   , -   , -   , -   , -   ,"3,310",23
E02000931,Wandsworth 009,330,"9,401", -   , -   , -   ,603,"5,318", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"3,088",19
E02000932,Wandsworth 010,121,"3,433","24,778","53,361", -   ,"4,365","12,098", -   , -   , -   ,433, -   , -   , -   , -   ,"2,740","4,086",105
E02000933,Wandsworth 011,32,746, -   , -   , -   ,"6,523","5,432", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"3,286",16
E02000934,Wandsworth 012,15,435, -   , -   , -   ,425,"8,825", -   , -   ,560,325, -   , -   , -   , -   , -   ,"3,253",14
E02000935,Wandsworth 013,90,"2,572", -   , -   , -   ,"3,428",771, -   , -   , -   , -   , -   , -   , -   , -   , -   ,"2,363",9
E02000936,Wandsworth 014,42,"1,184", -   , -   , -   ,"5,937","4,913", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"3,377",15
E02000937,Wandsworth 015,544,"15,472", -   , -   , -   ,"3,398","11,280", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"3,015",34
E02000938,Wandsworth 016,422,"11,322", -   , -   , -   ,"4,277",608, -   , -   , -   , -   , -   , -   , -   , -   , -   ,"8,484",25
E02000939,Wandsworth 017,86,"2,443", -   , -   , -   ,603,"4,913", -   , -   , -   ,217, -   , -   , -   , -   , -   ,"3,099",11
E02000940,Wandsworth 018,131,"3,728", -   , -   , -   ,"2,959","9,468", -   , -   , -   ,325, -   , -   , -   , -   , -   ,"3,160",20
E02000941,Wandsworth 019,166,"4,734", -   , -   , -   ,"2,988","1,110", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"3,999",13
E02000942,Wandsworth 020,23,659, -   , -   , -   ,"3,310","9,819", -   , -   , -   ,217, -   , -   , -   , -   , -   ,"10,710",25
E02000943,Wandsworth 021,106,"2,991", -   , -   , -   ,"3,867","5,280", -   , -   , -   ,650, -   , -   ,131, -   , -   ,"3,056",16
E02000944,Wandsworth 022,57,"1,625", -   , -   , -   ,603,"1,029", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"2,890",6
E02000945,Wandsworth 023,238,"6,371", -   , -   , -   ,"3,193","9,293", -   , -   , -   ,"1,282", -   , -   , -   , -   , -   , -   ,20
E02000946,Wandsworth 024,13,7, -   , -   , -   ,"3,808","1,157", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"3,129",8
E02000947,Wandsworth 025,154,"4,185", -   , -   , -   ,"3,135","3,837", -   , -   , -   ,108, -   , -   , -   , -   , -   , -   ,11
E02000948,Wandsworth 026,694,"19,743", -   , -   , -   ,"3,691","1,110", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"3,650",29
E02000949,Wandsworth 027,310,"8,815", -   , -   , -   ,469,"11,689", -   , -   , -   ,217, -   , -   , -   , -   , -   ,"3,693",25
E02000950,Wandsworth 028,168,"4,779", -   , -   , -   ,603,"4,635", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,10
E02000951,Wandsworth 029,5,144,"19,960", -   , -   ,"3,691","4,711", -   , -   , -   ,650, -   , -   ,131, -   ,"3,119","2,494",35
E02000952,Wandsworth 030,104,"2,961", -   , -   , -   ,415,"1,064", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"2,306",7
E02000953,Wandsworth 031,37,209, -   , -   , -   ,603,"1,134", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"2,654",5
E02000954,Wandsworth 032,4,83, -   , -   , -   ,376,"5,546", -   , -   , -   ,108, -   , -   , -   , -   , -   ,"2,346",8
E02000955,Wandsworth 033,36,"1,012", -   , -   , -   ,"3,135","9,468", -   , -   , -   ,433, -   , -   , -   , -   , -   ,"2,419",17
E02000956,Wandsworth 034,46,"1,317", -   , -   ,"2,525","2,988","4,217", -   , -   ,560,217, -   , -   ,131, -   , -   ,"2,593",15
E02000957,Wandsworth 035,7,196, -   , -   , -   ,444,"4,673", -   , -   , -   ,758, -   , -   , -   , -   , -   ,"3,506",10
E02000958,Wandsworth 036,187,"5,318", -   , -   , -   ,603,"4,913", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"3,082",14
E02000959,Wandsworth 037,14,397, -   , -   , -   ,"6,015",795, -   , -   , -   , -   , -   , -   , -   , -   , -   ,"2,693",10
E02000960,Westminster 001,2,44, -   , -   , -   ,"3,750","22,326",126, -   , -   ,108, -   , -   , -   , -   , -   ,"3,175",30
E02000961,Westminster 002,64,"1,829", -   , -   , -   ,"3,720","11,338", -   , -   , -   , -   , -   , -   ,262, -   , -   ,"4,078",21
E02000962,Westminster 003,36,"1,013","56,496", -   , -   ,"6,953","15,093", -   , -   , -   , -   , -   , -   , -   ,"51,100","6,516","4,719",142
E02000963,Westminster 004,20,561, -   , -   , -   ,"6,054","4,293",126, -   , -   , -   , -   , -   , -   , -   , -   ,"3,869",15
E02000964,Westminster 005,12,346, -   , -   , -   ,"4,101","4,559", -   , -   , -   ,217, -   , -   , -   , -   , -   ,"4,472",14
E02000965,Westminster 006,143,"4,073","15,952", -   , -   ,"4,072","5,242",126, -   , -   , -   , -   , -   , -   , -   ,"2,282","4,033",36
E02000966,Westminster 007,52,"1,484", -   , -   , -   ,"5,937","12,858",126, -   , -   ,217, -   , -   , -   , -   , -   ,"4,158",25
E02000967,Westminster 008,2,61, -   , -   , -   ,"16,318","16,481",126, -   , -   ,325, -   , -   ,262, -   , -   ,"3,525",37
E02000968,Westminster 009,61,"1,750", -   , -   , -   ,"4,277","9,351",126, -   , -   ,325, -   , -   ,131,"51,100", -   ,"6,302",73
E02000969,Westminster 010,81,"2,313", -   , -   , -   ,"3,691","15,093",252, -   , -   , -   , -   , -   , -   , -   , -   ,"4,248",26
E02000970,Westminster 011,75,"2,127","39,126", -   , -   ,"20,508","17,767",504, -   , -   ,758, -   , -   ,131, -   ,"6,924","3,910",92
E02000971,Westminster 012,16,449, -   , -   , -   ,"17,935","17,475",252, -   , -   ,108, -   , -   , -   , -   , -   ,"4,247",40
E02000972,Westminster 013,32,915,"45,405", -   , -   ,"20,140","25,131","1,512", -   , -   ,650, -   , -   ,523, -   ,"6,395","3,385",104
E02000973,Westminster 014,24,669,"68,199", -   , -   ,"6,015","14,377",126, -   , -   ,325, -   , -   , -   , -   ,"10,628","3,834",104
E02000974,Westminster 015,66,"1,882", -   , -   , -   ,"17,935","17,592", -   , -   , -   ,325, -   , -   , -   , -   , -   ,"3,748",42
E02000975,Westminster 016,19,552, -   , -   , -   ,"17,200","12,098",126, -   , -   ,542, -   , -   ,131, -   , -   ,"3,638",34
E02000976,Westminster 017,42,"1,184", -   , -   , -   ,"6,523","20,163",504, -   , -   ,325, -   , -   , -   , -   , -   ,"4,444",33
E02000977,Westminster 018,5,151,"74,737", -   , -   ,"20,802","28,287","1,134", -   , -   ,"1,191", -   , -   ,392, -   ,"8,780","3,669",139
E02000978,Westminster 019,3,83,"115,183", -   , -   ,"19,479","11,163", -   , -   , -   ,108, -   , -   ,262, -   ,"15,277","4,831",166
E02000979,Westminster 020, -   , -   , -   , -   , -   ,"18,303","14,494",756, -   , -   ,433, -   , -   ,131, -   , -   ,"4,589",39
E02000980,Westminster 021,54,"1,549","19,821", -   , -   ,"16,612","15,093", -   , -   , -   , -   , -   , -   , -   , -   ,"4,673", -   ,58
E02000981,Westminster 022,1,22, -   , -   , -   ,"17,421","10,169",126, -   , -   ,325, -   , -   ,131, -   , -   , -   ,28
E02000982,Westminster 023,42,"1,188", -   , -   , -   ,"20,214","24,839",252, -   , -   ,217, -   , -   , -   , -   , -   ,"3,977",51
E02000983,Westminster 024,88,"2,501", -   , -   , -   ,"16,686","9,351",126, -   , -   , -   , -   , -   , -   , -   , -   , -   ,29
