Middle Super Output Area,MSOA name, Open Loop Ground Source Abstraction, Closed Loop Ground Source Abstraction, Air Source Heat Pumps, Rivers (10% Abstraction), Power Stations,Building Heat Rejection;Office,Building Heat Rejection;Retail,Building Heat Rejection;Gyms, Industrial Sources;Part A Processes, Industrial Sources;Part B Processes,Commercial Building Sources - Non HVAC;Supermarkets,Commercial Building Sources - Non HVAC;Data Centres, Wastewater (Treatment Plants);, Tubre rejected, National Grid Infrastructure, UKPN Infrastructure, Sewer heat mining;Various, TOTAL;GWh 
E02000067,Bexley 003,668,"20,965", -   ,,"1,332,532","4,433","6,077",182, -   , -   , -   , -   , -   ,, -   , -   , -   ,"1,365"
E02000068,Bexley 004,279,"9,537","61,716",,"13,069",514,"5,585", -   ,"7,790",636,732, -   , -   ,, -   ,534, -   ,100
E02000069,Bexley 005,539,"18,323", -   ,, -   ,604,"1,499", -   , -   , -   , -   , -   , -   ,, -   , -   , -   ,21
E02000070,Bexley 006,250,"7,799", -   ,, -   ,604,"5,580", -   , -   , -   ,366, -   , -   ,, -   , -   , -   ,15
E02000071,Bexley 007,189,"6,428", -   ,, -   ,604,"1,280", -   , -   , -   ,366, -   , -   ,, -   , -   , -   ,9
E02000072,Bexley 008,814,"27,225", -   ,, -   ,464,"1,146", -   , -   , -   , -   , -   , -   ,, -   , -   ,"6,547",36
E02000073,Bexley 009,25,461, -   ,, -   ,604,"1,482", -   , -   , -   , -   , -   , -   ,, -   , -   , -   ,3
E02000074,Bexley 010,203,"5,398", -   ,, -   ,394,"5,580", -   , -   , -   , -   , -   , -   ,, -   , -   ,"16,124",28
E02000075,Bexley 011,169,"5,097", -   ,, -   ,604,"6,515", -   , -   , -   , -   , -   , -   ,, -   , -   , -   ,12
E02000076,Bexley 012,659,"20,085", -   ,, -   ,604,"1,213", -   , -   , -   , -   , -   , -   ,, -   , -   ,"18,183",41
E02000077,Bexley 013,71,"2,097", -   ,, -   ,604,"1,331", -   , -   , -   , -   , -   , -   ,, -   , -   , -   ,4
E02000078,Bexley 014,340,"10,543", -   ,, -   ,604,"5,475", -   , -   , -   , -   , -   , -   ,, -   , -   ,"4,330",21
E02000079,Bexley 015,106,"3,631","75,302",, -   ,"4,349","13,730",182, -   , -   ,"2,533", -   , -   ,, -   ,"1,999", -   ,102
E02000080,Bexley 016,12,418, -   ,, -   ,591,"1,550",182, -   , -   ,"1,098", -   , -   ,, -   , -   , -   ,4
E02000081,Bexley 017,264,"8,094", -   ,, -   ,697,"6,406", -   , -   , -   , -   , -   , -   ,, -   , -   ,"4,337",20
E02000082,Bexley 018,65,"2,212", -   ,, -   ,604,"1,482", -   , -   , -   , -   , -   , -   ,, -   , -   , -   ,4
E02000083,Bexley 019,79,"1,165","123,105","49,688", -   ,507,"7,665",182, -   , -   ,183, -   , -   ,, -   ,"1,281","5,448",189
E02000084,Bexley 020,659,"20,722", -   ,, -   ,507,"1,263",182, -   , -   ,"2,166", -   , -   ,, -   , -   ,"21,066",47
E02000085,Bexley 021,409,"12,437", -   ,, -   ,604,"1,617", -   , -   , -   , -   , -   , -   ,, -   , -   , -   ,15
E02000086,Bexley 022,293,"9,766", -   ,, -   ,647,"5,694", -   , -   , -   ,366, -   , -   ,, -   , -   ,"4,123",21
E02000087,Bexley 023,"1,078","32,788", -   ,, -   ,584,"5,749", -   , -   , -   , -   , -   , -   ,, -   , -   ,"4,247",44
E02000088,Bexley 024,418,"12,334", -   ,, -   ,604,"5,580", -   , -   , -   , -   , -   , -   ,, -   , -   ,"14,088",33
E02000089,Bexley 025,224,"3,129", -   ,, -   ,604,"5,580", -   , -   , -   , -   , -   , -   ,, -   , -   ,"4,376",14
E02000090,Bexley 026,190,"5,448", -   ,, -   ,690,"6,023", -   , -   , -   ,"1,647", -   , -   ,, -   , -   ,"4,730",19
