Middle Super Output Area,MSOA name, Open Loop Ground Source Abstraction, Closed Loop Ground Source Abstraction, Air Source Heat Pumps, Rivers (10% Abstraction), Power Stations,Building Heat Rejection;Office,Building Heat Rejection;Retail,Building Heat Rejection;Gyms, Industrial Sources;Part A Processes, Industrial Sources;Part B Processes,Commercial Building Sources - Non HVAC;Supermarkets,Commercial Building Sources - Non HVAC;Data Centres, Wastewater (Treatment Plants);, Tubre rejected, National Grid Infrastructure, UKPN Infrastructure, Sewer heat mining;Various, TOTAL;GWh ,
E02000282,Enfield 006,476,"16,084", -   , -   , -   ,627,"5,815", -   , -   ,713,137, -   , -   , -   , -   , -   ,"4,778",29,
E02000283,Enfield 007,251,"8,370", -   , -   , -   ,623,"6,249", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"4,803",20,
E02000284,Enfield 008,231,"7,912", -   , -   , -   ,"4,142","13,646", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,26,
E02000285,Enfield 009,51,"1,739", -   , -   , -   ,627,"6,249", -   , -   , -   ,"1,625", -   , -   , -   , -   , -   , -   ,10,
E02000286,Enfield 010,376,"11,958", -   , -   , -   ,"4,484","7,244", -   , -   , -   ,137, -   , -   , -   , -   , -   , -   ,24,
E02000287,Enfield 011,1,31, -   , -   , -   ,"3,914","6,652",327, -   , -   , -   , -   , -   , -   , -   , -   , -   ,11,
E02000288,Enfield 012,665,"22,757", -   , -   , -   ,538,"15,768", -   , -   , -   ,"3,387", -   , -   , -   , -   , -   , -   ,43,
E02000289,Enfield 013,64,"2,198", -   , -   , -   ,623,"6,249", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,9,
E02000290,Enfield 014,924,"29,341", -   , -   ,"1,186,884",507,"7,096",327,"16,036", -   , -   , -   , -   , -   , -   , -   ,"9,170","1,250",
E02000291,Enfield 015,221,"7,312", -   , -   , -   ,"4,408","15,238",327, -   , -   ,275, -   , -   , -   , -   , -   , -   ,28,
E02000292,Enfield 016,946,"27,230", -   , -   , -   ,623,"16,451",163, -   , -   ,549, -   , -   , -   , -   , -   , -   ,46,
E02000293,Enfield 017,"1,103","36,436", -   , -   , -   ,623,"1,410", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"16,556",56,
E02000294,Enfield 018,611,"15,945", -   , -   , -   ,"4,560","5,913", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"4,857",32,
E02000295,Enfield 019,147,"4,446", -   , -   , -   ,623,"6,603", -   , -   , -   ,137, -   , -   , -   , -   , -   ,"4,659",17,
E02000296,Enfield 020,799,"25,478", -   , -   , -   ,"4,218","6,357",327, -   , -   ,"1,762", -   , -   , -   , -   , -   , -   ,39,
E02000297,Enfield 021,389,"11,802", -   , -   , -   ,623,"5,223", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"10,351",28,
E02000298,Enfield 022, -   , -   , -   , -   , -   ,623,"5,962",163, -   , -   ,275, -   , -   , -   , -   , -   ,"4,338",11,
E02000299,Enfield 023,211,"7,228", -   , -   , -   ,621,"4,977", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"10,251",23,
E02000300,Enfield 024,87,"1,812", -   , -   , -   ,623,"1,183",163, -   , -   , -   , -   , -   , -   , -   , -   ,"4,431",8,
E02000301,Enfield 025,521,"17,827", -   , -   ,"34,289",450,"6,249",327, -   , -   , -   , -   ,"1,098,154", -   , -   , -   ,"5,472","1,163",
E02000302,Enfield 026,614,"18,350", -   , -   , -   ,"4,636","6,249", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"4,577",34,
E02000303,Enfield 027,514,"16,350", -   , -   , -   ,557,"6,249", -   , -   , -   ,549, -   , -   , -   , -   , -   ,"4,715",29,
E02000304,Enfield 028,185,"5,595", -   , -   , -   ,"4,560","5,322", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"4,207",20,
E02000305,Enfield 029,32,"1,086", -   , -   , -   ,"4,560","6,800",163, -   , -   , -   , -   , -   , -   , -   , -   , -   ,13,
E02000306,Enfield 030,383,"11,432", -   , -   ,"461,631",443,"5,470", -   , -   , -   ,275, -   , -   , -   , -   , -   ,"4,396",484,
E02000307,Enfield 031,215,"7,370", -   , -   , -   ,623,"6,249", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"5,078",20,
E02000308,Enfield 032,212,"7,248", -   , -   , -   ,462,"6,948", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"11,316",26,
E02000309,Enfield 033,439,"15,034", -   , -   , -   ,424,"6,209", -   , -   , -   ,"1,625", -   , -   , -   , -   , -   ,"5,318",29,
E02000310,Enfield 034,229,"5,418", -   , -   , -   ,507,"1,395", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"4,675",12,
E02000311,Enfield 035,517,"15,645", -   , -   , -   ,623,"5,765", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"5,210",28,
E02000312,Enfield 036,263,"8,648", -   , -   , -   ,"3,876","6,012", -   , -   , -   ,549, -   , -   , -   , -   , -   ,"12,696",32,
E02000313,Greenwich 001,334,"11,448","34,223", -   , -   ,487,"1,413", -   , -   , -   , -   , -   , -   , -   , -   ,"3,653","2,992",55,
E02000314,Greenwich 002,"1,469","50,282", -   , -   , -   ,487,"6,603",327, -   , -   ,686, -   , -   , -   , -   , -   ,"7,548",67,
E02000315,Greenwich 003,339,"11,618", -   , -   , -   ,399,"1,289",163, -   , -   ,824, -   , -   , -   , -   , -   ,"8,203",23,
E02000316,Greenwich 004,406,"13,895", -   , -   , -   ,348,"5,075",654, -   , -   ,961, -   , -   , -   , -   , -   ,"4,823",26,
E02000317,Greenwich 005,224,"7,678", -   , -   , -   ,367,"1,016", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"4,313",14,
E02000318,Greenwich 006,428,"12,997", -   , -   , -   ,418,"1,243",163, -   , -   ,275, -   , -   , -   , -   , -   ,"4,964",20,
E02000319,Greenwich 007,298,"10,207", -   , -   , -   ,564,"1,001", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"5,151",17,
E02000320,Greenwich 008,448,"15,156", -   , -   , -   ,487,"1,167", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,17,
E02000321,Greenwich 009,240,"8,219", -   , -   , -   ,487,819, -   , -   , -   , -   , -   , -   , -   , -   , -   ,"3,657",13,
E02000322,Greenwich 010,329,"11,097", -   , -   ,"1,004,048",405,"7,293",163, -   , -   ,"2,448", -   , -   , -   , -   , -   ,"7,375","1,033",
E02000323,Greenwich 011,122,"4,172", -   , -   , -   ,367,"1,213",327, -   , -   , -   , -   , -   , -   , -   , -   ,"5,225",11,
E02000324,Greenwich 012,771,"26,254", -   , -   , -   ,323,"1,198",163, -   , -   , -   , -   , -   , -   , -   , -   ,"3,532",32,
E02000325,Greenwich 013,481,"15,577", -   , -   , -   ,487,"1,289", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"3,688",22,
E02000326,Greenwich 014,186,"6,222", -   , -   , -   ,487,"1,107", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"3,536",12,
E02000327,Greenwich 015,"1,283","43,916", -   , -   , -   ,532,970, -   , -   , -   , -   , -   , -   , -   , -   , -   ,"3,191",50,
E02000328,Greenwich 016,6,8, -   , -   , -   ,595,"5,864", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"3,327",10,
E02000329,Greenwich 017,727,"23,834", -   , -   , -   ,487,849, -   , -   , -   , -   , -   , -   , -   , -   , -   ,"3,312",29,
E02000330,Greenwich 018,"1,216","41,548", -   ,"18,341", -   ,513,"7,342", -   , -   , -   ,412, -   , -   , -   , -   , -   ,"7,444",77,
E02000331,Greenwich 019,262,"8,958","51,637", -   , -   ,"3,838","5,617", -   , -   , -   ,275, -   , -   , -   , -   ,"2,630","4,105",77,
E02000332,Greenwich 020,"1,056","35,765", -   , -   , -   ,487,"1,413", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,39,
